countryCode,id,name,code,typeId,typeName,startDate,endDate,year,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+type+id+fts_internal,#activity+appeal+type+name,#date+start,#date+end,#date+year,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
PSE,,Not specified,,,,,,2028,,2844312,
PSE,,Not specified,,,,,,2027,,3011977,
PSE,,Not specified,,,,,,2026,,3752877,
PSE,,Not specified,,,,,,2025,,28103331,
PSE,1156,Escalation of Hostilities in the OPT Flash Appeal 2023-2024,FPSE24,5,Flash appeal,2024-01-01,2024-03-31,2024,600000000,623375570,104
PSE,,Not specified,,,,,,2024,,40401581,
PSE,1109,Occupied Palestinian Territory Humanitarian Response Plan 2023,HPSE23,4,Humanitarian response plan,2023-01-01,2023-09-30,2023,376729201,377668369,100
PSE,1186,Escalation of Hostilities in the OPT Flash Appeal 2023,FPSE23,5,Flash appeal,2023-10-01,2023-12-31,2023,629098307,649066324,103
PSE,,Not specified,,,,,,2023,,656475503,
PSE,1059,Occupied Palestinian Territory Humanitarian Response Plan 2022,HPSE22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,509872202,474060457,93
PSE,,Not specified,,,,,,2022,,135302405,
PSE,1012,Occupied Palestinian Territory 2021,HPSE21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,417567330,386093038,92
PSE,1049,Escalation of Hostilities in the OPT  Flash Appeal 2021,FPSE21,5,Flash appeal,2021-05-27,2021-08-27,2021,95062068,45120548,47
PSE,,Not specified,,,,,,2021,,257067750,
PSE,832,Occupied Palestinian Territory 2020 (part of 2018-2020 HRP),HPSE20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,420381684,303861212,72
PSE,,Not specified,,,,,,2020,,133650766,
PSE,664,Occupied Palestinian Territory 2019 (part of 2018-2020 HRP),HPSE19,4,Humanitarian response plan,2019-01-01,2019-12-30,2019,350589271,292549322,83
PSE,,Not specified,,,,,,2019,,88551344,
PSE,633,Occupied Palestinian Territory 2018 (part of 2018-2020 HRP),HPSE18,4,Humanitarian response plan,2018-01-01,2018-12-31,2018,539721755,241990393,45
PSE,,Not specified,,,,,,2018,,101121233,
PSE,529,occupied Palestinian territory 2017,HPSE17,4,Humanitarian response plan,2017-01-01,2017-12-31,2017,551876643,258817158,47
PSE,,Not specified,,,,,,2017,,74783352,
PSE,504,occupied Palestinian territory 2016,HPSE16,4,Humanitarian response plan,2016-01-01,2016-12-31,2016,570702496,283756219,50
PSE,,Not specified,,,,,,2016,,399490075,
PSE,459,occupied Palestinian territory 2015,HPSE15,4,Humanitarian response plan,2015-01-01,2015-12-31,2015,706051110,397911825,56
PSE,,Not specified,,,,,,2015,,211505791,
PSE,435,occupied Palestinian territory 2014,HPSE14,4,Humanitarian response plan,2014-01-01,2014-12-31,2014,931086454,506977015,54
PSE,,Not specified,,,,,,2014,,423727307,
PSE,398,occupied Palestinian territory 2013,CPSE13,110,CAP,2013-01-01,2013-12-31,2013,400839740,270047918,67
PSE,,Not specified,,,,,,2013,,152504322,
PSE,374,occupied Palestinian territory 2012,CPSE12,110,CAP,2012-01-01,2012-12-31,2012,419907202,311466307,74
PSE,,Not specified,,,,,,2012,,261811647,
PSE,348,occupied Palestinian territory 2011,CPSE11,110,CAP,2011-01-01,2011-12-31,2011,536927963,306522537,57
PSE,,Not specified,,,,,,2011,,227378775,
PSE,316,occupied Palestinian territory 2010,CPSE10,110,CAP,2010-01-01,2010-12-31,2010,603408539,329737701,55
PSE,,Not specified,,,,,,2010,,89527307,
PSE,290,occupied Palestinian territory 2009,CPSE09,110,CAP,2009-01-01,2009-12-31,2009,804522005,646700051,80
PSE,,Not specified,,,,,,2009,,225928105,
PSE,261,occupied Palestinian territory 2008,CPSE08,110,CAP,2008-01-01,2008-12-31,2008,452223961,337058442,75
PSE,,Not specified,,,,,,2008,,171370918,
PSE,228,occupied Palestinian territory 2007,CPSE07,110,CAP,2007-01-01,2007-12-31,2007,426324665,279014878,65
PSE,,Not specified,,,,,,2007,,84006654,
PSE,199,occupied Palestinian territory 2006,CPSE06,110,CAP,2006-01-01,2006-12-31,2006,394883810,275830801,70
PSE,,Not specified,,,,,,2006,,184385654,
PSE,168,occupied Palestinian territory 2005,CPSE05,110,CAP,2005-01-01,2005-12-31,2005,301452508,213252866,71
PSE,,Not specified,,,,,,2005,,84760600,
PSE,146,occupied Palestinian territory 2004,CPSE04,110,CAP,2004-01-01,2004-12-31,2004,300479250,177281661,59
PSE,,Not specified,,,,,,2004,,128768400,
PSE,118,occupied Palestinian territory 2003,CPSE03,110,CAP,2003-01-01,2003-12-31,2003,293774854,175863110,60
PSE,,Not specified,,,,,,2003,,68557435,
PSE,,Not specified,,,,,,2002,,46460730,
PSE,,Not specified,,,,,,2001,,696528204,
PSE,,Not specified,,,,,,2000,,132590780,
