"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
175,2002,3,,PS,"Occupied Palestinian Territories",,,,0,0,0,5,0,0,1,4,0,5,0,0,0,0,1,4,0,5,0,0,5,Unknown,Combat/Crossfire,Unknown,31.649741,35.162072,Incidental,Unknown,Unknown,"1 IFRC national staff killed and 4 wounded by Israeli army.
",Archived,Archived
174,2002,3,7,PS,"Occupied Palestinian Territories","West Bank","West Bank",Tulkarem,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,32.31037,35.02863,Unknown,Unknown,Unknown,"1 UN national staff shot and killed in Tulkarem, West Bank, March 7.",Archived,Archived
193,2002,9,,PS,"Occupied Palestinian Territories",,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,"Individual attack","Project site",31.649741,35.162072,Unknown,Unaffiliated,"Not applicable","1 INGO national staff received minor wounds when settlers shot at a team repairing a deliberately vandalized water source.",Archived,Archived
198,2002,11,22,PS,"Occupied Palestinian Territories","West Bank",,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,"Project site",32.0254688,35.2888075,Incidental,"Host state","Israel Defense Forces (IDF)","One UN international staff shot and killed at the Jenin refugee camp by Israeli army gunfire, Nov 22.",Archived,Archived
207,2002,12,6,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Bureij Camp, east of the Salah al-Din Road",2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Combat/Crossfire,"Project site",31.4772871,34.3215106,Incidental,"Host state","Israel Defense Forces (IDF)","Two UN national staff in Bureij Camp, Gaza Strip by IDF operations.",Archived,Archived
274,2003,,,PS,"Occupied Palestinian Territories","Gaza Strip",,,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Shooting,Combat/Crossfire,Unknown,31.4772871,34.3215106,Incidental,"Host state","Israel Defense Forces (IDF)","Two RC national staff wounded by Israeli fire in Gaza.",Archived,Archived
215,2003,2,,PS,"Occupied Palestinian Territories","Gaza Strip",Gaza,"Yunis Refugee Camp",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,"Project site",31.41667,34.33333,Unknown,Unknown,Unknown,"1 UN national staff killed in Younis Refugee Camp.",Archived,Archived
325,2004,10,10,PS,"Occupied Palestinian Territories",,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,31.649741,35.162072,Unknown,Unknown,Unknown,"1 UN national staff killed in explosion.",Yes,"Official Report"
333,2004,12,,PS,"Occupied Palestinian Territories",,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"Bodily assault",Unknown,Unknown,31.649741,35.162072,Unknown,Unknown,Unknown,"1 UN national staff stabbed to death.",Yes,"Official Report"
